fecha,precipitacion_mm,caudal_observado_m3s
1990-01-01,144.000,9.1995
1990-02-01,171.000,18.1739
1990-03-01,153.000,12.9311
1990-04-01,72.000,2.7894
1990-05-01,27.000,0.8047
1990-06-01,9.000,0.4986
1990-07-01,4.500,0.4751
1990-08-01,4.500,0.4854
1990-09-01,13.500,0.4722
1990-10-01,36.000,0.6346
1990-11-01,72.000,1.4551
1990-12-01,117.000,4.9271
1991-01-01,150.400,9.5175
1991-02-01,178.600,19.2437
1991-03-01,159.800,13.6381
1991-04-01,75.200,2.8479
1991-05-01,28.200,0.7921
1991-06-01,9.400,0.4992
1991-07-01,4.700,0.4772
1991-08-01,4.700,0.4878
1991-09-01,14.100,0.4746
1991-10-01,37.600,0.6124
1991-11-01,75.200,1.4353
1991-12-01,122.200,5.0731
1992-01-01,156.800,10.0031
1992-02-01,186.200,19.9919
1992-03-01,166.600,14.3209
1992-04-01,78.400,2.9613
1992-05-01,29.400,0.8122
1992-06-01,9.800,0.5035
1992-07-01,4.900,0.4798
1992-08-01,4.900,0.4903
1992-09-01,14.700,0.4770
1992-10-01,39.200,0.6213
1992-11-01,78.400,1.4760
1992-12-01,127.400,5.3196
1993-01-01,163.200,10.3776
1993-02-01,193.800,20.3404
1993-03-01,173.400,14.8109
1993-04-01,81.600,3.0369
1993-05-01,30.600,0.8205
1993-06-01,10.200,0.5003
1993-07-01,5.100,0.4753
1993-08-01,5.100,0.4854
1993-09-01,15.300,0.4722
1993-10-01,40.800,0.6210
1993-11-01,81.600,1.4987
1993-12-01,132.600,5.5059
1994-01-01,169.600,10.9372
1994-02-01,201.400,20.9229
1994-03-01,180.200,15.5214
1994-04-01,84.800,3.1622
1994-05-01,31.800,0.8414
1994-06-01,10.600,0.5046
1994-07-01,5.300,0.4779
1994-08-01,5.300,0.4879
1994-09-01,15.900,0.4746
1994-10-01,42.400,0.6300
1994-11-01,84.800,1.5482
1994-12-01,137.800,5.7945
1995-01-01,176.000,11.5503
1995-02-01,209.000,21.4980
1995-03-01,187.000,16.1604
1995-04-01,88.000,3.2867
1995-05-01,33.000,0.8622
1995-06-01,11.000,0.5090
1995-07-01,5.500,0.4805
1995-08-01,5.500,0.4904
1995-09-01,16.500,0.4770
1995-10-01,44.000,0.6395
1995-11-01,88.000,1.6045
1995-12-01,143.000,6.1160
